country,dystopia_residual,family,freedom,gdp_per_capita,generosity,government_corruption,life_expectancy,lower_confidence_interval,rank,region,score,social_support,standard_error,upper_confidence_interval,whiskerhigh,whiskerlow
India,1.5191171169281,0.754372596740723,0.469987004995346,0.792221248149872,0.231538489460945,0.0922268852591515,0.455427616834641,,122,,4.31500005722046,,,,4.37152201749384,4.25847809694707
Mauritania,1.65163731575012,1.2720308303833,0.0960980430245399,0.648457288742065,0.201870024204254,0.136957004666328,0.285349279642105,,123,,4.29199981689453,,,,4.37716361626983,4.20683601751924
Congo (Brazzaville),1.72413563728333,0.832044363021851,0.435025870800018,0.808964252471924,0.120852127671242,0.0796181336045265,0.28995743393898,,124,,4.29099988937378,,,,4.41005350500345,4.17194627374411
Georgia,1.50013780593872,0.57061493396759,0.309410035610199,0.950612664222717,0.0540088154375553,0.251666635274887,0.649546980857849,,125,,4.28599977493286,,,,4.37493396580219,4.19706558406353
Congo (Kinshasa),2.22495865821838,1.22902345657349,0.235961347818375,0.0921023488044739,0.246455833315849,0.0602413564920425,0.191407024860382,,126,,4.28000020980835,,,,4.35781083270907,4.20218958690763
Mali,1.66819095611572,1.28147339820862,0.306613743305206,0.476180493831635,0.183354198932648,0.104970246553421,0.169365674257278,,127,,4.19000005722046,,,,4.26967071101069,4.11032940343022
Ivory Coast,1.84496426582336,0.904780030250549,0.447706192731857,0.603048920631409,0.201237469911575,0.130061775445938,0.0486421696841717,,128,,4.17999982833862,,,,4.27518256321549,4.08481709346175
Cambodia,1.04294109344482,1.00623834133148,0.633375823497772,0.601765096187592,0.385922968387604,0.0681059509515762,0.429783403873444,,129,,4.16800022125244,,,,4.27851781353354,4.05748262897134
Sudan,1.68706583976746,1.21400856971741,0.0149958552792668,0.65951669216156,0.182317450642586,0.089847519993782,0.290920823812485,,130,,4.13899993896484,,,,4.34574716508389,3.9322527128458
Ghana,1.57786750793457,0.873664736747742,0.423026293516159,0.667224824428558,0.256923943758011,0.0253363698720932,0.295637726783752,,131,,4.11999988555908,,,,4.22270720854402,4.01729256257415
Ukraine,0.814382314682007,1.39453756809235,0.122974775731564,0.89465194940567,0.270061463117599,0.0230294708162546,0.575903952121735,,132,,4.09600019454956,,,,4.18541010454297,4.00659028455615
Uganda,1.526362657547,1.12982773780823,0.443185955286026,0.381430715322495,0.325766056776047,0.057069718837738,0.217632606625557,,133,,4.08099985122681,,,,4.19579996705055,3.96619973540306
Burkina Faso,1.72721290588379,1.04328000545502,0.324367851018906,0.3502277135849,0.250864684581757,0.120328105986118,0.215844258666039,,134,,4.03200006484985,,,,4.12405906438828,3.93994106531143
Niger,1.87398338317871,0.993025004863739,0.36365869641304,0.161925330758095,0.228673845529556,0.138572946190834,0.26850500702858,,135,,4.02799987792969,,,,4.11194681972265,3.94405293613672
Malawi,2.08178615570068,0.512568831443787,0.466914653778076,0.233442038297653,0.287170469760895,0.0727116540074348,0.315089583396912,,136,,3.97000002861023,,,,4.07747881740332,3.86252123981714
Chad,2.07123804092407,0.953855872154236,0.16234202682972,0.438012987375259,0.216113850474358,0.0535818822681904,0.0411347150802612,,137,,3.93600010871887,,,,4.0347115239501,3.83728869348764
Zimbabwe,1.59797024726868,1.08309590816498,0.336384207010269,0.375846534967422,0.189143493771553,0.0953753814101219,0.196763753890991,,138,,3.875,,,,3.97869964271784,3.77130035728216
Lesotho,1.42983531951904,1.19009518623352,0.390661299228668,0.521021246910095,0.157497271895409,0.119094640016556,0.0,,139,,3.80800008773804,,,,4.04434397548437,3.5716561999917
Angola,1.61448240280151,1.10441195964813,0.0,0.858428180217743,0.097926490008831,0.0697203353047371,0.0498686656355858,,140,,3.79500007629395,,,,3.95164193540812,3.63835821717978
Afghanistan,2.15080118179321,0.581543326377869,0.106179520487785,0.401477217674255,0.311870932579041,0.0611578300595284,0.180746778845787,,141,,3.79399991035461,,,,3.87366141527891,3.71433840543032
Botswana,0.3779137134552,1.22155499458313,0.505196332931519,1.12209415435791,0.0993484482169151,0.0985831990838051,0.341755509376526,,142,,3.76600003242493,,,,3.87412266626954,3.65787739858031
Benin,1.88563096523285,0.435299843549728,0.425962775945663,0.431085407733917,0.207948461174965,0.0609290152788162,0.209930211305618,,143,,3.65700006484985,,,,3.74578355133533,3.56821657836437
Madagascar,1.58461260795593,0.913020372390747,0.189196765422821,0.305808693170547,0.208732530474663,0.0672319754958153,0.375223308801651,,144,,3.64400005340576,,,,3.71431910589337,3.57368100091815
Haiti,1.69716763496399,0.640449821949005,0.0303698573261499,0.368610262870789,0.489203780889511,0.0998721495270729,0.277321130037308,,145,,3.6029999256134,,,,3.73471479773521,3.47128505349159
Yemen,1.34560060501099,0.93538224697113,0.249463722109795,0.591683447360992,0.104125209152699,0.0567674227058887,0.310080915689468,,146,,3.59299993515015,,,,3.69275031983852,3.49324955046177
South Sudan,1.87956738471985,0.601323127746582,0.147062435746193,0.39724862575531,0.285670816898346,0.116793513298035,0.163486003875732,,147,,3.59100008010864,,,,3.72553858578205,3.45646157443523
Liberia,1.67328596115112,0.872117936611176,0.332881182432175,0.119041793048382,0.26654988527298,0.0389482490718365,0.229918196797371,,148,,3.53299999237061,,,,3.65375626087189,3.41224372386932
Guinea,1.55231189727783,0.791244685649872,0.348587512969971,0.244549930095673,0.264815092086792,0.110937617719173,0.194129139184952,,149,,3.50699996948242,,,,3.58442812889814,3.4295718100667
Togo,1.83722925186157,0.431882530450821,0.38042613863945,0.305444717407227,0.196896150708199,0.0956650152802467,0.247105568647385,,150,,3.49499988555908,,,,3.59403811171651,3.39596165940166
Rwanda,0.540061235427856,0.945707023143768,0.581843852996826,0.368745893239975,0.252756029367447,0.455220013856888,0.326424807310104,,151,,3.47099995613098,,,,3.54303023353219,3.39896967872977
Syria,1.06157350540161,0.396102607250214,0.0815394446253777,0.777153134346008,0.493663728237152,0.151347130537033,0.50053334236145,,152,,3.46199989318848,,,,3.66366855680943,3.26033122956753
Tanzania,0.621130466461182,1.04198980331421,0.390017777681351,0.511135876178741,0.354256361722946,0.0660351067781448,0.364509284496307,,153,,3.34899997711182,,,,3.46142975538969,3.23657019883394
Burundi,1.68302416801453,0.629793584346771,0.0599007532000542,0.091622568666935,0.204435184597969,0.0841479450464249,0.151610791683197,,154,,2.90499997138977,,,,3.07469033300877,2.73530960977077
Central African Republic,2.06600475311279,0.0,0.270842045545578,0.0,0.280876487493515,0.0565650761127472,0.0187726859003305,,155,,2.69300007820129,,,,2.86488426923752,2.52111588716507
Finland,,,0.681,1.305,0.202,0.393,0.874,,1,,7.632,1.592,,,,
Norway,,,0.686,1.456,0.286,0.34,0.861,,2,,7.594,1.582,,,,
Denmark,,,0.683,1.351,0.284,0.408,0.868,,3,,7.555,1.59,,,,
Iceland,,,0.677,1.343,0.353,0.138,0.914,,4,,7.495,1.644,,,,
Switzerland,,,0.66,1.42,0.256,0.357,0.927,,5,,7.487,1.549,,,,
Netherlands,,,0.638,1.361,0.333,0.295,0.878,,6,,7.441,1.488,,,,
Canada,,,0.653,1.33,0.321,0.291,0.896,,7,,7.328,1.532,,,,
New Zealand,,,0.669,1.268,0.365,0.389,0.876,,8,,7.324,1.601,,,,
Sweden,,,0.659,1.355,0.285,0.383,0.913,,9,,7.314,1.501,,,,
Australia,,,0.647,1.34,0.361,0.302,0.91,,10,,7.272,1.573,,,,
United Kingdom,,,0.464,1.244,0.262,0.082,0.888,,11,,7.19,1.433,,,,
Austria,,,0.617,1.341,0.242,0.224,0.891,,12,,7.139,1.504,,,,
Costa Rica,,,0.632,1.01,0.143,0.101,0.817,,13,,7.072,1.459,,,,
Ireland,,,0.614,1.448,0.307,0.306,0.876,,14,,6.977,1.583,,,,
Germany,,,0.586,1.34,0.273,0.28,0.861,,15,,6.965,1.474,,,,
Belgium,,,0.583,1.324,0.188,0.24,0.894,,16,,6.927,1.483,,,,
Luxembourg,,,0.632,1.576,0.196,0.321,0.896,,17,,6.91,1.52,,,,
United States,,,0.547,1.398,0.291,0.133,0.819,,18,,6.886,1.471,,,,
Israel,,,0.533,1.301,0.354,0.272,0.883,,19,,6.814,1.559,,,,
United Arab Emirates,,,0.284,2.096,0.186,,0.67,,20,,6.774,0.776,,,,
Czech Republic,,,0.543,1.233,0.064,0.034,0.854,,21,,6.711,1.489,,,,
Malta,,,0.645,1.27,0.376,0.142,0.884,,22,,6.627,1.525,,,,
France,,,0.52,1.293,0.098,0.176,0.908,,23,,6.489,1.466,,,,
Mexico,,,0.479,1.038,0.069,0.095,0.761,,24,,6.488,1.252,,,,
Chile,,,0.431,1.131,0.197,0.061,0.808,,25,,6.476,1.331,,,,
Taiwan,,,0.418,1.365,0.151,0.078,0.857,,26,,6.441,1.436,,,,
Panama,,,0.597,1.112,0.125,0.063,0.759,,27,,6.43,1.438,,,,
Brazil,,,0.493,0.986,0.11,0.088,0.675,,28,,6.419,1.474,,,,
Argentina,,,0.57,1.073,0.062,0.054,0.744,,29,,6.388,1.468,,,,
Guatemala,,,0.604,0.781,0.179,0.071,0.608,,30,,6.382,1.268,,,,
Uruguay,,,0.625,1.093,0.13,0.155,0.771,,31,,6.379,1.459,,,,
Qatar,,,0.654,1.649,0.256,0.171,0.748,,32,,6.374,1.303,,,,
Saudi Arabia,,,0.509,1.379,0.098,0.127,0.633,,33,,6.371,1.331,,,,
Singapore,,,0.631,1.529,0.261,0.457,1.008,,34,,6.343,1.451,,,,
Malaysia,,,0.356,1.161,0.311,0.059,0.669,,35,,6.322,1.258,,,,
Spain,,,0.449,1.251,0.142,0.074,0.965,,36,,6.31,1.538,,,,
Colombia,,,0.531,0.96,0.099,0.039,0.635,,37,,6.26,1.439,,,,
Trinidad & Tobago,,,0.575,1.223,0.171,0.019,0.564,,38,,6.192,1.492,,,,
Slovakia,,,0.354,1.21,0.118,0.014,0.776,,39,,6.173,1.537,,,,
El Salvador,,,0.461,0.806,0.065,0.082,0.639,,40,,6.167,1.231,,,,
Nicaragua,,,0.527,0.668,0.208,0.128,0.7,,41,,6.141,1.319,,,,
Poland,,,0.546,1.176,0.108,0.064,0.781,,42,,6.123,1.448,,,,
Bahrain,,,0.594,1.338,0.243,0.123,0.698,,43,,6.105,1.366,,,,
Uzbekistan,,,0.724,0.719,0.328,0.259,0.605,,44,,6.096,1.584,,,,
Kuwait,,,0.554,1.474,0.167,0.106,0.675,,45,,6.083,1.301,,,,
Thailand,,,0.637,1.016,0.364,0.029,0.707,,46,,6.072,1.417,,,,
Italy,,,0.281,1.264,0.137,0.028,0.946,,47,,6.0,1.501,,,,
Ecuador,,,0.556,0.889,0.114,0.12,0.736,,48,,5.973,1.33,,,,
Belize,,,0.593,0.807,0.183,0.089,0.474,,49,,5.956,1.101,,,,
Lithuania,,,0.35,1.197,0.026,0.006,0.716,,50,,5.952,1.527,,,,
Slovenia,,,0.633,1.219,0.16,0.051,0.856,,51,,5.948,1.506,,,,
Romania,,,0.528,1.116,0.088,0.001,0.726,,52,,5.945,1.219,,,,
Latvia,,,0.363,1.148,0.092,0.066,0.671,,53,,5.933,1.454,,,,
Japan,,,0.553,1.294,0.079,0.15,0.988,,54,,5.915,1.462,,,,
Mauritius,,,0.584,1.09,0.245,0.05,0.684,,55,,5.891,1.387,,,,
Jamaica,,,0.575,0.819,0.096,0.031,0.693,,56,,5.89,1.493,,,,
South Korea,,,0.244,1.266,0.175,0.051,0.955,,57,,5.875,1.204,,,,
Northern Cyprus,,,0.495,1.229,0.179,0.154,0.909,,58,,5.835,1.211,,,,
Russia,,,0.399,1.151,0.065,0.025,0.599,,59,,5.81,1.479,,,,
Kazakhstan,,,0.454,1.143,0.148,0.121,0.631,,60,,5.79,1.516,,,,
Cyprus,,,0.423,1.229,0.202,0.035,0.909,,61,,5.762,1.191,,,,
Bolivia,,,0.606,0.751,0.141,0.054,0.508,,62,,5.752,1.223,,,,
Estonia,,,0.553,1.2,0.086,0.174,0.737,,63,,5.739,1.532,,,,
Paraguay,,,0.541,0.835,0.162,0.074,0.615,,64,,5.681,1.522,,,,
Peru,,,0.53,0.934,0.092,0.034,0.674,,65,,5.663,1.249,,,,
Kosovo,,,0.448,0.855,0.274,0.023,0.578,,66,,5.662,1.23,,,,
Moldova,,,0.232,0.657,0.171,0.0,0.62,,67,,5.64,1.301,,,,
Turkmenistan,,,0.417,1.016,0.199,0.037,0.517,,68,,5.636,1.533,,,,
Hungary,,,0.259,1.171,0.061,0.022,0.732,,69,,5.62,1.401,,,,
Libya,,,0.496,0.985,0.116,0.148,0.553,,70,,5.566,1.35,,,,
Philippines,,,0.643,0.775,0.12,0.105,0.513,,71,,5.524,1.312,,,,
Honduras,,,0.459,0.62,0.197,0.074,0.622,,72,,5.504,1.205,,,,
Belarus,,,0.307,1.039,0.101,0.154,0.7,,73,,5.483,1.498,,,,
Turkey,,,0.324,1.148,0.106,0.109,0.686,,74,,5.483,1.38,,,,
Pakistan,,,0.334,0.652,0.216,0.113,0.424,,75,,5.472,0.81,,,,
Hong Kong,,,0.524,1.405,0.246,0.291,1.03,,76,,5.43,1.29,,,,
Portugal,,,0.562,1.188,0.055,0.017,0.884,,77,,5.41,1.429,,,,
Serbia,,,0.288,0.975,0.134,0.043,0.685,,78,,5.398,1.369,,,,
Greece,,,0.131,1.154,0.0,0.044,0.879,,79,,5.358,1.202,,,,
Lebanon,,,0.503,0.965,0.214,0.136,0.785,,80,,5.358,1.179,,,,
Montenegro,,,0.259,1.017,0.111,0.081,0.729,,81,,5.347,1.279,,,,
Croatia,,,0.38,1.115,0.12,0.039,0.737,,82,,5.321,1.161,,,,
Dominican Republic,,,0.578,0.982,0.12,0.106,0.614,,83,,5.302,1.441,,,,
Algeria,,,0.077,0.979,0.055,0.135,0.687,,84,,5.295,1.154,,,,
Morocco,,,0.46,0.779,0.026,0.074,0.669,,85,,5.254,0.797,,,,
China,,,0.597,0.989,0.029,0.103,0.799,,86,,5.246,1.142,,,,
Azerbaijan,,,0.43,1.024,0.031,0.176,0.603,,87,,5.201,1.161,,,,
Tajikistan,,,0.292,0.474,0.187,0.034,0.598,,88,,5.199,1.166,,,,
Macedonia,,,0.394,0.959,0.173,0.052,0.691,,89,,5.185,1.239,,,,
Jordan,,,0.468,0.822,0.13,0.134,0.645,,90,,5.161,1.265,,,,
Nigeria,,,0.462,0.689,0.201,0.032,0.048,,91,,5.155,1.172,,,,
Kyrgyzstan,,,0.54,0.53,0.281,0.035,0.594,,92,,5.131,1.416,,,,
Bosnia and Herzegovina,,,0.28,0.915,0.216,0.0,0.758,,93,,5.129,1.078,,,,
Mongolia,,,0.395,0.914,0.253,0.032,0.575,,94,,5.125,1.517,,,,
Vietnam,,,0.618,0.715,0.177,0.079,0.702,,95,,5.103,1.365,,,,
Indonesia,,,0.538,0.899,0.484,0.018,0.522,,96,,5.093,1.215,,,,
Bhutan,,,0.541,0.796,0.364,0.171,0.527,,97,,5.082,1.335,,,,
Somalia,,,0.674,0.0,0.238,0.282,0.115,,98,,4.982,0.712,,,,
Cameroon,,,0.454,0.535,0.183,0.043,0.182,,99,,4.975,0.891,,,,
Bulgaria,,,0.359,1.054,0.064,0.009,0.712,,100,,4.933,1.515,,,,
Nepal,,,0.526,0.425,0.302,0.078,0.539,,101,,4.88,1.228,,,,
Venezuela,,,0.133,0.996,0.056,0.052,0.657,,102,,4.806,1.469,,,,
Gabon,,,0.356,1.036,0.032,0.052,0.404,,103,,4.758,1.164,,,,
Palestinian Territories,,,0.266,0.642,0.086,0.076,0.602,,104,,4.743,1.217,,,,
South Africa,,,0.516,0.94,0.103,0.056,0.33,,105,,4.724,1.41,,,,
Iran,,,0.459,1.059,0.282,0.129,0.691,,106,,4.707,0.771,,,,
Ivory Coast,,,0.467,0.541,0.146,0.103,0.08,,107,,4.671,0.872,,,,
Ghana,,,0.499,0.592,0.212,0.029,0.337,,108,,4.657,0.896,,,,
Senegal,,,0.406,0.429,0.138,0.082,0.433,,109,,4.631,1.117,,,,
Laos,,,0.626,0.72,0.23,0.174,0.441,,110,,4.623,1.034,,,,
Tunisia,,,0.271,0.9,0.04,0.063,0.69,,111,,4.592,0.906,,,,
Albania,,,0.419,0.916,0.149,0.032,0.79,,112,,4.586,0.817,,,,
Sierra Leone,,,0.355,0.256,0.238,0.053,0.0,,113,,4.571,0.813,,,,
Congo (Brazzaville),,,0.514,0.682,0.091,0.077,0.343,,114,,4.559,0.811,,,,
Bangladesh,,,0.58,0.532,0.153,0.144,0.579,,115,,4.5,0.85,,,,
Sri Lanka,,,0.585,0.918,0.307,0.05,0.672,,116,,4.471,1.314,,,,
Iraq,,,0.304,1.01,0.148,0.095,0.536,,117,,4.456,0.971,,,,
Mali,,,0.367,0.37,0.139,0.056,0.152,,118,,4.447,1.233,,,,
Namibia,,,0.519,0.874,0.051,0.064,0.365,,119,,4.441,1.281,,,,
Cambodia,,,0.696,0.549,0.256,0.065,0.457,,120,,4.433,1.088,,,,
Burkina Faso,,,0.312,0.314,0.175,0.128,0.254,,121,,4.424,1.097,,,,
Egypt,,,0.312,0.885,0.092,0.107,0.553,,122,,4.419,1.025,,,,
Mozambique,,,0.531,0.198,0.206,0.158,0.173,,123,,4.417,0.902,,,,
Kenya,,,0.504,0.493,0.352,0.055,0.454,,124,,4.41,1.048,,,,
Zambia,,,0.503,0.562,0.221,0.082,0.295,,125,,4.377,1.047,,,,
Mauritania,,,0.129,0.557,0.134,0.093,0.292,,126,,4.356,1.245,,,,
Ethiopia,,,0.452,0.308,0.22,0.146,0.391,,127,,4.35,0.95,,,,
Georgia,,,0.375,0.853,0.038,0.215,0.643,,128,,4.34,0.592,,,,
Armenia,,,0.26,0.816,0.077,0.028,0.666,,129,,4.321,0.99,,,,
Myanmar,,,0.58,0.682,0.598,0.178,0.429,,130,,4.308,1.174,,,,
Chad,,,0.189,0.358,0.181,0.06,0.053,,131,,4.301,0.907,,,,
Congo (Kinshasa),,,0.312,0.069,0.197,0.052,0.204,,132,,4.245,1.136,,,,
India,,,0.539,0.721,0.172,0.093,0.485,,133,,4.19,0.747,,,,
Niger,,,0.39,0.131,0.175,0.099,0.221,,134,,4.166,0.867,,,,
Uganda,,,0.45,0.322,0.259,0.061,0.237,,135,,4.161,1.09,,,,
Benin,,,0.44,0.378,0.163,0.067,0.24,,136,,4.141,0.372,,,,
Sudan,,,0.016,0.605,0.134,0.082,0.312,,137,,4.139,1.24,,,,
Ukraine,,,0.163,0.793,0.187,0.011,0.609,,138,,4.103,1.413,,,,
Togo,,,0.434,0.259,0.158,0.101,0.253,,139,,3.999,0.474,,,,
Guinea,,,0.394,0.344,0.185,0.094,0.211,,140,,3.964,0.792,,,,
Lesotho,,,0.423,0.472,0.116,0.112,0.079,,141,,3.808,1.215,,,,
Angola,,,0.0,0.73,0.079,0.061,0.269,,142,,3.795,1.125,,,,
Madagascar,,,0.221,0.262,0.155,0.049,0.402,,143,,3.774,0.908,,,,
Zimbabwe,,,0.406,0.357,0.132,0.099,0.248,,144,,3.692,1.094,,,,
Afghanistan,,,0.085,0.332,0.191,0.036,0.255,,145,,3.632,0.537,,,,
Botswana,,,0.557,1.017,0.042,0.092,0.417,,146,,3.59,1.174,,,,
Malawi,,,0.531,0.186,0.21,0.08,0.306,,147,,3.587,0.541,,,,
Haiti,,,0.025,0.315,0.392,0.104,0.289,,148,,3.582,0.714,,,,
Liberia,,,0.419,0.076,0.206,0.03,0.267,,149,,3.495,0.858,,,,
Syria,,,0.088,0.689,0.376,0.144,0.539,,150,,3.462,0.382,,,,
Rwanda,,,0.636,0.332,0.2,0.444,0.4,,151,,3.408,0.896,,,,
Yemen,,,0.244,0.442,0.083,0.064,0.343,,152,,3.355,1.073,,,,
Tanzania,,,0.481,0.455,0.27,0.097,0.381,,153,,3.303,0.991,,,,
South Sudan,,,0.112,0.337,0.224,0.106,0.177,,154,,3.254,0.608,,,,
Central African Republic,,,0.305,0.024,0.218,0.038,0.01,,155,,3.083,0.0,,,,
Burundi,,,0.065,0.091,0.149,0.076,0.145,,156,,2.905,0.627,,,,
Finland,,,0.596,1.34,0.153,0.393,0.986,,1,,7.769,1.587,,,,
Denmark,,,0.592,1.383,0.252,0.41,0.996,,2,,7.6,1.573,,,,
Norway,,,0.603,1.488,0.271,0.341,1.028,,3,,7.554,1.582,,,,
Iceland,,,0.591,1.38,0.354,0.118,1.026,,4,,7.494,1.624,,,,
Netherlands,,,0.557,1.396,0.322,0.298,0.999,,5,,7.488,1.522,,,,
Switzerland,,,0.572,1.452,0.263,0.343,1.052,,6,,7.48,1.526,,,,
Sweden,,,0.574,1.387,0.267,0.373,1.009,,7,,7.343,1.487,,,,
New Zealand,,,0.585,1.303,0.33,0.38,1.026,,8,,7.307,1.557,,,,
Canada,,,0.584,1.365,0.285,0.308,1.039,,9,,7.278,1.505,,,,
Austria,,,0.532,1.376,0.244,0.226,1.016,,10,,7.246,1.475,,,,
Australia,,,0.557,1.372,0.332,0.29,1.036,,11,,7.228,1.548,,,,
Costa Rica,,,0.558,1.034,0.144,0.093,0.963,,12,,7.167,1.441,,,,
Israel,,,0.371,1.276,0.261,0.082,1.029,,13,,7.139,1.455,,,,
Luxembourg,,,0.526,1.609,0.194,0.316,1.012,,14,,7.09,1.479,,,,
United Kingdom,,,0.45,1.333,0.348,0.278,0.996,,15,,7.054,1.538,,,,
Ireland,,,0.516,1.499,0.298,0.31,0.999,,16,,7.021,1.553,,,,
Germany,,,0.495,1.373,0.261,0.265,0.987,,17,,6.985,1.454,,,,
Belgium,,,0.473,1.356,0.16,0.21,0.986,,18,,6.923,1.504,,,,
United States,,,0.454,1.433,0.28,0.128,0.874,,19,,6.892,1.457,,,,
Czech Republic,,,0.457,1.269,0.046,0.036,0.92,,20,,6.852,1.487,,,,
United Arab Emirates,,,0.598,1.503,0.262,0.182,0.825,,21,,6.825,1.31,,,,
Malta,,,0.564,1.3,0.375,0.151,0.999,,22,,6.726,1.52,,,,
Mexico,,,0.433,1.07,0.074,0.073,0.861,,23,,6.595,1.323,,,,
France,,,0.436,1.324,0.111,0.183,1.045,,24,,6.592,1.472,,,,
Taiwan,,,0.351,1.368,0.242,0.097,0.914,,25,,6.446,1.43,,,,
Chile,,,0.357,1.159,0.187,0.056,0.92,,26,,6.444,1.369,,,,
Guatemala,,,0.535,0.8,0.175,0.078,0.746,,27,,6.436,1.269,,,,
Saudi Arabia,,,0.439,1.403,0.08,0.132,0.795,,28,,6.375,1.357,,,,
Qatar,,,0.555,1.684,0.22,0.167,0.871,,29,,6.374,1.313,,,,
Spain,,,0.362,1.286,0.153,0.079,1.062,,30,,6.354,1.484,,,,
Panama,,,0.516,1.149,0.109,0.054,0.91,,31,,6.321,1.442,,,,
Brazil,,,0.39,1.004,0.099,0.086,0.802,,32,,6.3,1.439,,,,
Uruguay,,,0.523,1.124,0.127,0.15,0.891,,33,,6.293,1.465,,,,
Singapore,,,0.556,1.572,0.271,0.453,1.141,,34,,6.262,1.463,,,,
El Salvador,,,0.43,0.794,0.093,0.074,0.789,,35,,6.253,1.242,,,,
Italy,,,0.231,1.294,0.158,0.03,1.039,,36,,6.223,1.488,,,,
Bahrain,,,0.536,1.362,0.255,0.11,0.871,,37,,6.199,1.368,,,,
Slovakia,,,0.334,1.246,0.121,0.014,0.881,,38,,6.198,1.504,,,,
Trinidad & Tobago,,,0.489,1.231,0.185,0.016,0.713,,39,,6.192,1.477,,,,
Poland,,,0.483,1.206,0.117,0.05,0.884,,40,,6.182,1.438,,,,
Uzbekistan,,,0.631,0.745,0.322,0.24,0.756,,41,,6.174,1.529,,,,
Lithuania,,,0.291,1.238,0.043,0.042,0.818,,42,,6.149,1.515,,,,
Colombia,,,0.47,0.985,0.099,0.034,0.841,,43,,6.125,1.41,,,,
Slovenia,,,0.564,1.258,0.144,0.057,0.953,,44,,6.118,1.523,,,,
Nicaragua,,,0.435,0.694,0.2,0.127,0.835,,45,,6.105,1.325,,,,
Kosovo,,,0.489,0.882,0.262,0.006,0.758,,46,,6.1,1.232,,,,
Argentina,,,0.471,1.092,0.066,0.05,0.881,,47,,6.086,1.432,,,,
Romania,,,0.462,1.162,0.083,0.005,0.825,,48,,6.07,1.232,,,,
Cyprus,,,0.406,1.263,0.19,0.041,1.042,,49,,6.046,1.223,,,,
Ecuador,,,0.498,0.912,0.126,0.087,0.868,,50,,6.028,1.312,,,,
Kuwait,,,0.493,1.5,0.142,0.097,0.808,,51,,6.021,1.319,,,,
Thailand,,,0.557,1.05,0.359,0.028,0.828,,52,,6.008,1.409,,,,
Latvia,,,0.264,1.187,0.075,0.064,0.812,,53,,5.94,1.465,,,,
South Korea,,,0.159,1.301,0.175,0.056,1.036,,54,,5.895,1.219,,,,
Estonia,,,0.495,1.237,0.103,0.161,0.874,,55,,5.893,1.528,,,,
Jamaica,,,0.49,0.831,0.107,0.028,0.831,,56,,5.89,1.478,,,,
Mauritius,,,0.498,1.12,0.215,0.06,0.798,,57,,5.888,1.402,,,,
Japan,,,0.445,1.327,0.069,0.14,1.088,,58,,5.886,1.419,,,,
Honduras,,,0.507,0.642,0.246,0.078,0.828,,59,,5.86,1.236,,,,
Kazakhstan,,,0.41,1.173,0.146,0.096,0.729,,60,,5.809,1.508,,,,
Bolivia,,,0.511,0.776,0.137,0.064,0.706,,61,,5.779,1.209,,,,
Hungary,,,0.199,1.201,0.081,0.02,0.828,,62,,5.758,1.41,,,,
Paraguay,,,0.514,0.855,0.184,0.08,0.777,,63,,5.743,1.475,,,,
Northern Cyprus,,,0.417,1.263,0.191,0.162,1.042,,64,,5.718,1.252,,,,
Peru,,,0.455,0.96,0.083,0.027,0.854,,65,,5.697,1.274,,,,
Portugal,,,0.508,1.221,0.047,0.025,0.999,,66,,5.693,1.431,,,,
Pakistan,,,0.313,0.677,0.22,0.098,0.535,,67,,5.653,0.886,,,,
Russia,,,0.334,1.183,0.082,0.031,0.726,,68,,5.648,1.452,,,,
Philippines,,,0.558,0.807,0.117,0.107,0.657,,69,,5.631,1.293,,,,
Serbia,,,0.282,1.004,0.137,0.039,0.854,,70,,5.603,1.383,,,,
Moldova,,,0.245,0.685,0.181,0.0,0.739,,71,,5.529,1.328,,,,
Libya,,,0.416,1.044,0.133,0.152,0.673,,72,,5.525,1.303,,,,
Montenegro,,,0.197,1.051,0.142,0.08,0.871,,73,,5.523,1.361,,,,
Tajikistan,,,0.389,0.493,0.23,0.144,0.718,,74,,5.467,1.098,,,,
Croatia,,,0.296,1.155,0.119,0.022,0.914,,75,,5.432,1.266,,,,
Hong Kong,,,0.44,1.438,0.258,0.287,1.122,,76,,5.43,1.277,,,,
Dominican Republic,,,0.497,1.015,0.113,0.101,0.779,,77,,5.425,1.401,,,,
Bosnia and Herzegovina,,,0.212,0.945,0.263,0.006,0.845,,78,,5.386,1.212,,,,
Turkey,,,0.195,1.183,0.083,0.106,0.808,,79,,5.373,1.36,,,,
Malaysia,,,0.508,1.221,0.26,0.024,0.828,,80,,5.339,1.171,,,,
Belarus,,,0.235,1.067,0.094,0.142,0.789,,81,,5.323,1.465,,,,
Greece,,,0.067,1.181,0.0,0.034,0.999,,82,,5.287,1.156,,,,
Mongolia,,,0.317,0.948,0.235,0.038,0.667,,83,,5.285,1.531,,,,
North Macedonia,,,0.345,0.983,0.185,0.034,0.838,,84,,5.274,1.294,,,,
Nigeria,,,0.426,0.696,0.215,0.041,0.245,,85,,5.265,1.111,,,,
Kyrgyzstan,,,0.508,0.551,0.3,0.023,0.723,,86,,5.261,1.438,,,,
Turkmenistan,,,0.394,1.052,0.244,0.028,0.657,,87,,5.247,1.538,,,,
Algeria,,,0.086,1.002,0.073,0.114,0.785,,88,,5.211,1.16,,,,
Morocco,,,0.418,0.801,0.036,0.076,0.782,,89,,5.208,0.782,,,,
Azerbaijan,,,0.351,1.043,0.035,0.182,0.769,,90,,5.208,1.147,,,,
